UniqueID,State_ID,State,Dist_ID,District,PCA_T_Pop,PCA_Tot_M,PCA_Tot_F,PCA_Tot_SC,PCA_Tot_ST,PCA_Tot_Ur,PCA_Tot_Ru,C08_Tot_Ch,C08_Tot_M,C08_Tot_F,C08_Tot_SC,C08_Tot_ST,C08_Tot_Ur,C08_Tot_Ru,2016_Pop_s,2020_Pop_s
"207","26",Dadra & Nagar Haveli,"496",Dadra & Nagar Haveli,"343709","193760","149949","6186","178564","160595","183114","56918","29915","27003","915","37356","21429","35489",347695.000000000058208,471160.999999999941792
"2","31",Lakshadweep,"587",Lakshadweep,"64473","33123","31350","0","61120","50332","14141","9202","4465","4737","0","8966","7009","2193",32201.000000000000000,26306.000000000000000
"3","34",Puducherry,"637",Karaikal,"200222","97809","102413","35348","0","98102","102120","27289","13677","13612","5447","0","13136","14153",263221.000000000000000,225388.000000000000000
"4","34",Puducherry,"636",Mahe,"41816","19143","22673","144","0","41816","0","5461","2836","2625","15","0","5461","0",7465.000000000000000,12241.000000000000000
"5","28",Andhra Pradesh,"545",East Godavari,"5154296","2569688","2584608","945269","213195","1313972","3840324","725535","367153","358382","145258","35324","179020","546515",5479518.000000000000000,5505101.000000000000000
"6","28",Andhra Pradesh,"543",Vizianagaram,"2344474","1161477","1182997","247728","235556","490911","1853563","343603","176343","167260","38462","44972","67276","276327",2593824.000000000000000,2566108.000000000000000
"7","28",Andhra Pradesh,"546",West Godavari,"3936966","1964918","1972048","811698","109072","808777","3128189","546056","276678","269378","126822","18721","111011","435045",4036263.000000000000000,4051692.000000000000000
"8","28",Andhra Pradesh,"542",Srikakulam,"2703114","1341738","1361376","255664","166118","436703","2266411","403292","208368","194924","41169","31428","62553","340739",2662420.000000000000000,2690387.000000000000000
"9","28",Andhra Pradesh,"551",Y.S.R,"2882469","1451777","1430692","465794","75886","979132","1903337","431613","222823","208790","77239","13185","146019","285594",2983690.000000000000000,2953370.000000000000000
"10","28",Andhra Pradesh,"544",Visakhapatnam,"4290589","2138910","2151679","329486","618500","2035922","2254667","621120","317918","303202","49117","111011","270712","350408",4533878.000000000000000,4571843.000000000000000
"11","28",Andhra Pradesh,"547",Krishna,"4517398","2267375","2250023","871063","132464","1843660","2673738","605015","310650","294365","132779","22876","240198","364817",4750654.000000000000000,4775317.000000000931323
"12","33",Tamil Nadu,"614",Tiruchirappalli,"2722290","1352284","1370006","466561","18198","1338033","1384257","361175","185712","175463","67678","2962","167420","193755",2538720.000000000000000,2915853.000000000000000
"13","33",Tamil Nadu,"619",Thiruvarur,"1264277","626693","637584","430927","3034","257795","1006482","168788","85539","83249","66611","534","33735","135053",1242624.000000000000000,1337930.000000000000000
"14","28",Andhra Pradesh,"548",Guntur,"4887813","2440521","2447292","957407","247089","1652738","3235075","689695","356113","333582","148916","43169","232646","457049",5068354.000000000000000,5008946.000000000000000
"15","28",Andhra Pradesh,"552",Kurnool,"4053463","2039227","2014236","737945","82831","1149286","2904177","691033","355210","335823","133239","16827","189426","501607",4188071.999999999534339,4176164.000000000000000
"16","28",Andhra Pradesh,"549",Prakasam,"3397448","1714764","1682684","787861","151145","664582","2732866","515385","265881","249504","135078","28230","97184","418201",3497851.000000000000000,3512541.000000000000000
"17","36",Telangana,"532",Adilabad,"2741239","1369597","1371642","78007","495794","760259","1980980","447095","228349","218746","78007","99273","114079","333016",2879381.000000000000000,2876839.000000000000000
"18","28",Andhra Pradesh,"550",Sri Potti Sriramulu,"2963557","1492974","1470583","666588","285997","857630","2105927","420128","217931","202197","104522","47988","114448","305680",3141797.000000000000000,3132609.000000000000000
"19","36",Telangana,"534",Karimnagar,"3776269","1880800","1895469","107645","106745","951225","2825044","548904","280957","267947","107645","20922","135014","413890",3946906.000000000000000,3975874.000000000000000
"20","36",Telangana,"535",Medak,"3033288","1523030","1510258","90646","168985","727871","2305417","493154","252038","241116","90646","36140","111791","381363",3108227.000000000000000,3112217.000000000000000
"21","28",Andhra Pradesh,"553",Anantapur,"4081148","2064495","2016653","583135","154127","1145711","2935437","605344","311892","293452","95737","25867","169815","435529",4261229.000000000000000,4327347.000000000000000
"22","36",Telangana,"538",Mahbubnagar,"4053028","2050386","2002642","127639","364269","607692","3445336","702745","361534","341211","127639","78022","102199","600546",4256917.000000000000000,4313143.000000000000000
"23","28",Andhra Pradesh,"554",Chittoor,"4174064","2090204","2083860","785760","159165","1231386","2942678","585162","301174","283988","118218","26872","169952","415210",4439386.000000000000000,4421066.000000000000000
"24","36",Telangana,"539",Nalgonda,"3488809","1759772","1729037","104971","394279","662507","2826302","541259","278455","262804","104971","75059","105799","435460",3726526.000000000000000,3726622.000000000000000
"25","36",Telangana,"540",Warangal,"3512576","1759281","1753295","103805","530656","992333","2520243","552632","284584","268048","103805","101381","145506","407126",3651402.000000000000000,3682605.000000000000000
"26","36",Telangana,"541",Khammam,"2797370","1390988","1406382","72605","765565","655911","2141459","423630","214731","208899","72605","136583","92791","330839",2960810.000000000000000,3030951.999999999534339
"27","33",Tamil Nadu,"626",Ramanathapuram,"1353445","682658","670787","249008","1105","410699","942746","191642","98428","93214","37857","216","58656","132986",1387884.000000000232831,1486428.000000000232831
"28","33",Tamil Nadu,"625",Virudhunagar,"1942288","967709","974579","399831","2294","980226","962062","268054","136752","131302","61397","346","132162","135892",1906523.000000000000000,2046355.000000000000000
"29","33",Tamil Nadu,"624",Theni,"1245899","625683","620216","258200","1835","670481","575418","170789","89866","80923","39800","383","91158","79631",1394530.000000000000000,1360903.000000000000000
"30","33",Tamil Nadu,"621",Pudukkottai,"1618345","803188","815157","284804","1283","316354","1301991","233993","119968","114025","43367","229","43748","190245",1688930.000000000000000,1740755.999999999767169
"31","33",Tamil Nadu,"604",Kancheepuram,"3998252","2012958","1985294","948081","41210","2538336","1459916","494578","252895","241683","132957","7309","300492","194086",4399374.000000000000000,3451561.000000000000000
"32","33",Tamil Nadu,"609",Namakkal,"1726601","869280","857321","345392","57059","696125","1030476","213716","113544","100172","47877","8874","85843","127873",1986314.000000000000000,1482851.999999999767169
"33","33",Tamil Nadu,"602",Thiruvallur,"3728104","1876062","1852042","821646","47243","2428395","1299709","477355","244646","232709","114687","7786","298437","178918",3969648.000000000000000,4063756.000000000000000
"34","33",Tamil Nadu,"633",Tiruppur,"2479052","1246159","1232893","395876","5458","1521111","957941","294068","150616","143452","54898","891","183615","110453",2882580.000000000000000,2709405.000000000000000
"35","33",Tamil Nadu,"632",Coimbatore,"3458045","1729297","1728748","535911","28342","2618940","839105","400479","204666","195813","72029","4194","302631","97848",3345538.000000000000000,3796952.000000000465661
"36","33",Tamil Nadu,"611",The Nilgiris,"735394","360143","375251","235878","32813","435655","299739","98879","49770","49109","33439","5411","59776","39103",745012.000000000000000,758707.000000000000000
"37","33",Tamil Nadu,"610",Erode,"2251744","1129868","1121876","369483","21880","1157976","1093768","264551","136825","127726","49298","3439","135917","128634",3054552.000000000465661,2903934.000000000000000
"38","33",Tamil Nadu,"608",Salem,"3482056","1781571","1700485","580512","119369","1774122","1707934","475634","253664","221970","87816","18056","235630","240004",2909852.000000000000000,3684935.999999999534339
"39","8",Rajasthan,"117",Sirohi,"1036346","534231","502115","201863","292470","208654","827692","203508","108890","94618","40638","64655","35418","168090",1073936.000000000000000,1144469.000000000000000
"40","33",Tamil Nadu,"607",Viluppuram,"3458873","1740819","1718054","1015716","74859","519088","2939785","503106","257376","245730","162150","13318","71994","431112",3073244.000000000000000,3636647.999999999534339
"41","33",Tamil Nadu,"630",Dharmapuri,"1506843","774303","732540","245392","63044","260912","1245931","225048","120573","104475","39035","10699","36949","188099",1382386.000000000000000,1624319.000000000000000
"42","33",Tamil Nadu,"605",Vellore,"3936331","1961688","1974643","860212","72955","1701987","2234344","546851","280039","266812","124381","12871","230594","316257",3997837.000000000000000,4098481.000000000000000
"43","33",Tamil Nadu,"631",Krishnagiri,"1879809","960232","919577","267386","22388","428363","1451446","282994","147754","135240","43227","4242","62371","220623",2196216.000000000000000,1993808.000000000000000
"44","33",Tamil Nadu,"606",Tiruvannamalai,"2464875","1235889","1228986","565329","90954","494945","1969930","337918","173273","164645","83872","15933","65610","272308",2534965.000000000000000,2654256.000000000000000
"45","33",Tamil Nadu,"603",Chennai,"4646732","2335844","2310888","779667","10061","4646732","0","539370","275931","263439","102870","1252","539370","0",4494740.000000000000000,5806835.000000000000000
"46","1",Jammu & Kashmir,"8",Baramula,"1008039","534733","473306","1476","37705","182500","825539","183705","95107","88598","14","7597","25560","158145",1601451.000000000000000,1415578.000000000000000
"47","1",Jammu & Kashmir,"7",Kathua,"616435","326109","290326","141224","53307","89713","526722","103877","56780","47097","24898","11514","12686","91191",776331.000000000000000,722197.000000000000000
"48","37",Ladakh,"3",Leh(Ladakh),"133487","78971","54516","488","95857","45671","87816","15313","7883","7430","17","13501","4250","11063",283559.000000000000000,154691.000000000000000
"49","1",Jammu & Kashmir,"2",Badgam,"753745","398041","355704","368","23912","97912","655833","153657","80896","72761","4","6418","15293","138364",1653020.000000000232831,1755727.000000000000000
"50","1",Jammu & Kashmir,"1",Kupwara,"870354","474190","396164","1048","70352","104729","765625","191374","100498","90876","4","17066","23458","167916",675598.000000000116415,992792.000000000000000
"51","1",Jammu & Kashmir,"10",Srinagar,"1236829","651124","585705","1068","8935","1219516","17313","175080","91410","83670","17","1741","172202","2878",211108.000000000000000,265328.000000000000000
"52","1",Jammu & Kashmir,"11",Ganderbal,"297446","158720","138726","117","61070","47039","250407","58418","30699","27719","6","14876","8672","49746",187501.000000000000000,458491.000000000058208
"53","1",Jammu & Kashmir,"18",Kishtwar,"230696","120165","110531","14307","38149","14865","215831","45348","23409","21939","2851","8691","2176","43172",299382.000000000000000,283152.000000000000000
"54","1",Jammu & Kashmir,"9",Bandipore,"392232","207680","184552","392","75374","65361","326871","76266","39830","36436","10","16885","11459","64807",196931.000000000000000,399868.999999999941792
"55","1",Jammu & Kashmir,"6",Rajouri,"642415","345351","297064","48157","232815","52314","590101","119576","62956","56620","8546","50432","5983","113593",664921.000000000000000,820790.000000000116415
"56","8",Rajasthan,"103",Jhunjhunun,"2137045","1095896","1041149","360709","41629","489079","1647966","386692","208060","178632","70106","7711","89133","297559",2261230.000000000000000,2421338.000000000000000
"57","1",Jammu & Kashmir,"5",Punch,"476835","251899","224936","556","176101","38630","438205","93587","48881","44706","34","38032","6142","87445",350947.000000000058208,501320.000000000000000
"58","37",Ladakh,"4",Kargil,"140802","77785","63017","18","122336","16338","124464","22931","11889","11042","3","21831","1975","20956",171225.000000000000000,165940.000000000000000
"59","1",Jammu & Kashmir,"12",Phulwama,"560440","293064","267376","402","22607","80462","479978","85809","44449","41360","3","4887","10610","75199",390844.999999999941792,592166.000000000116415
"60","1",Jammu & Kashmir,"13",Shupiyan,"266215","136480","129735","43","21820","16360","249855","48821","24780","24041","0","5321","1891","46930",330958.000000000000000,434683.000000000058208
"61","1",Jammu & Kashmir,"14",Anantnag,"1078692","559767","518925","1826","116006","282887","795805","214064","111773","102291","2","27757","50644","163420",455167.000000000058208,646664.000000000000000
"62","1",Jammu & Kashmir,"15",Kulgam,"424483","217620","206863","21","26525","80613","343870","75721","38794","36927","4","5940","12872","62849",506363.000000000058208,714153.999999999883585
"63","1",Jammu & Kashmir,"16",Doda,"409936","213641","196295","53408","39216","32689","377247","79100","40918","38182","10427","8679","5426","73674",279074.000000000000000,390594.000000000000000
"64","1",Jammu & Kashmir,"17",Ramban,"283713","149132","134581","13920","39772","11811","271902","57724","29793","27931","3052","8561","1602","56122",184796.000000000000000,308500.999999999941792
"65","1",Jammu & Kashmir,"20",Reasi,"314667","166461","148206","37757","88365","26996","287671","62365","32449","29916","6959","19516","3836","58529",377172.999999999941792,411331.000000000058208
"66","1",Jammu & Kashmir,"19",Udhampur,"554985","296784","258201","138569","56309","108208","446777","97198","51463","45735","27152","11646","13695","83503",670820.000000000000000,732389.000000000000000
"67","8",Rajasthan,"123",Rajsamand,"1156597","581339","575258","148168","160809","183820","972777","213275","111106","102169","28148","32775","31106","182169",1370611.999999999767169,1243487.000000000000000
"68","1",Jammu & Kashmir,"21",Jammu,"1529958","813821","716137","377991","69193","765013","764945","213812","119145","94667","58766","13927","95514","118298",1887627.000000000000000,1401964.000000000232831
"69","1",Jammu & Kashmir,"22",Samba,"318898","169124","149774","91835","17573","53615","265283","48059","27017","21042","14593","3321","7286","40773",1018884.000000000000000,731129.000000000000000
"70","23",MadyaPradesh,"432",Neemuch,"826067","422653","403414","111162","71441","245230","580837","140011","72405","67606","19802","13919","38951","101060",889095.000000000000000,920022.000000000116415
